Speaker ID,Name,Gender,VER 3 Name,Clip ID,Duration (s),# of IPs,# of words,Speech rate (words per s),Link,Transcription
M1,JOHN,male,JOHN_01,M1_01,2.46,1,14,5.691056911,https://youtu.be/hIkTc35YXAA?t=1019,I will either tell them or I will ask them to come and watch
M1,JOHN,male,JOHN_02,M1_02,1.907,1,10,5.24383849,https://youtu.be/BsLVsJNv4wc?t=1212,You do none of that you don't become more beautiful
M1,JOHN,male,JOHN_04,M1_03,2.162,1,11,5.087881591,https://youtu.be/BsLVsJNv4wc?t=2075,But in her heart she's a softie she's a cinnamon roll
M1,JOHN,male,JOHN_06,M1_04,1.984,1,6,3.024193548,https://youtu.be/7_-4TXv6pvY?t=728,That will be the vast majority
M2,LUKE,male,LUKE_04,M2_01,2.032,1,8,3.937007874,https://youtu.be/zRZu05R_eD8?t=402,I think the dinner how much was it
M2,LUKE,male,LUKE_05,M2_02,2.306,1,7,3.03555941,https://youtu.be/zRZu05R_eD8?t=550,When did you first start doing content
M2,LUKE,male,LUKE_06,M2_03,2.423,1,11,4.539826661,https://youtu.be/P5kKKe_-qJ8?t=1138,After this the moment the podcast end we are heading there
M2,LUKE,male,LUKE_07,M2_04,2.417,1,14,5.79230451,https://youtu.be/P5kKKe_-qJ8?t=1826,Then I told them you know what never mind I'm not interested any more
M3,PJ,male,PJ_02,M3_01,2.489,1,6,2.410606669,,I self-identify as a historian
M3,PJ,male,PJ_03,M3_02,2.384,1,9,3.775167785,,That's what I am first and foremost a historian
M3,PJ,male,PJ_04,M3_03,2.233,1,7,3.134796238,,But I've left that life behind me
M3,PJ,male,PJ_08,M3_04,1.79,1,6,3.351955307,,I hurt my knee quite badly
M4,SIMON,male,SIMON_07,M4_01,1.953,1,8,4.096262161,,Did you manage to fulfil them right now
M4,SIMON,male,SIMON_08,M4_02,1.949,1,8,4.104669061,,I took the ATM card and I didn't
M4,SIMON,male,SIMON_09,M4_03,1.516,1,5,3.298153034,,Be a son to him
M4,SIMON,male,SIMON_10,M4_04,1.754,1,7,3.990877993,,I message him in IG with my
M5,TERENCE,male,TERENCE_02,M5_01,2,1,7,3.53713997,https://youtu.be/1CFCXDiJH5g?t=287,It's better to be factual about it
M5,TERENCE,male,TERENCE_06,M5_02,2.08,1,8,3.846153846,,You walk out of the situation rather than
M5,TERENCE,male,TERENCE_07,M5_03,2,1,9,4.603580563,,They say that it's not a good thing to
M5,TERENCE,male,TERENCE_08,M5_04,2.091,1,7,3.347680536,,Just talking about how why some people
F1,ESTEE,female,ESTEE_01,F1_01,2.319,1,10,4.312203536,https://youtu.be/BsLVsJNv4wc?t=2308,That person was asking me a question and I replied
F1,ESTEE,female,ESTEE_02,F1_02,1.584,1,7,4.419191919,https://youtu.be/BsLVsJNv4wc?t=2371,I didn't mean it that way and
F1,ESTEE,female,ESTEE_06,F1_03,2.334,1,7,2.999143102,https://youtu.be/BsLVsJNv4wc?t=2308,Certificate of sorts right a Youtube plaque
F1,ESTEE,female,ESTEE_07,F1_04,2.44,1,9,3.68852459,,Believe that you cannot feel anything while you're doing
F2,GERMAINE,female,GERMAINE_03,F2_01,1.859,1,8,4.303388919,https://youtu.be/ZqG4tyevNwU?t=1326,I guess with every small step it helps
F2,GERMAINE,female,GERMAINE_07,F2_02,2.157,1,9,4.172461752,,Buy each other roses and give each other cards
F2,GERMAINE,female,GERMAINE_09,F2_03,2.442,1,13,5.323505324,https://youtu.be/ZqG4tyevNwU?t=1437,If let's say like you plug in your stuff into the switch right
F2,GERMAINE,female,GERMAINE_11,F2_04,1.686,1,4,2.372479241,https://youtu.be/ZqG4tyevNwU?t=1437,Probably some household goods
F3,HAZELLE,female,HAZELLE_09,F3_01,1.898,1,7,3.688092729,https://youtu.be/ZqG4tyevNwU?t=1437,Regular products may cost like eleven dollars
F3,HAZELLE,female,HAZELLE_11,F3_02,2.276,1,11,4.833040422,,I mean honestly I'll say first it's so hard for us
F3,HAZELLE,female,HAZELLE_12,F3_03,1.896,1,9,4.746835443,,A lot of people put their stuff up there
F3,HAZELLE,female,HAZELLE_13,F3_04,1.663,1,8,4.810583283,,It can go up to like four times
F4,JOSEPHINE,female,LEEN_03,F4_01,1.921,1,9,4.685059865,,Are on the same level I think that's ok
F4,JOSEPHINE,female,LEEN_04,F4_02,2.483,1,10,4.027386226,,Really really like trying to show support to the person
F4,JOSEPHINE,female,LEEN_05,F4_03,2.523,1,14,5.548949663,,I don't think they catch feelings but they just become more attached to them
F4,JOSEPHINE,female,LEEN_06,F4_04,1.514,1,7,4.623513871,,Slowly put the fish in the water
F5,NINA,female,NINA_06,F5_01,2.022,1,9,4.451038576,https://youtu.be/aFLgw8VpkPw?t=849,But people have been telling me things about Junior
F5,NINA,female,NINA_07,F5_02,1.467,1,6,4.08997955,https://youtu.be/aFLgw8VpkPw?t=849,I don't want to believe this
F5,NINA,female,NINA_08,F5_03,1.587,1,5,3.150598614,,It was just through message
F5,NINA,female,NINA_09,F5_04,1.979,1,11,5.558362809,,As long as you tell me that we are still together
